Player_Name,Team,Nationality,Primary_Level,Primary_Role,Batting_Style,Capped_Status
Ajinkya Rahane,Kolkata Knight Riders,India,IPL,Top-Order Batter,Right-handed,Capped
Angkrish Raghuvanshi,Kolkata Knight Riders,India,IPL,Top-Order Batter,Right-handed,Uncapped
Anukul Roy,Kolkata Knight Riders,India,IPL,Allrounder,Left-handed,Uncapped
Harshit Rana,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Uncapped
Manish Pandey,Kolkata Knight Riders,India,IPL,Top-Order Batter,Right-handed,Capped
Ramandeep Singh,Kolkata Knight Riders,India,IPL,Allrounder,Right-handed,Uncapped
Rinku Singh,Kolkata Knight Riders,India,IPL,Top-Order Batter,Left-handed,Uncapped
Rovman Powell,Kolkata Knight Riders,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Sunil Narine,Kolkata Knight Riders,Overseas,IPL,Allrounder,Left-handed,Capped
Umran Malik,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Capped
Vaibhav Arora,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Capped
Varun Chakaravarthy,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Capped
Rahul Tripathi,Chennai Super Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Finn Allen,Kolkata Knight Riders,Overseas,IPL,Wicketkeeper,Right-handed,Capped
Tejasvi Singh,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Uncapped
Tim Seifert,Royal Challengers Bengaluru,Overseas,IPL,Wicketkeeper,Right-handed,Capped
Cameron Green,Kolkata Knight Riders,Overseas,IPL,Allrounder,Right-handed,Capped
Sarthak Ranjan,Kolkata Knight Riders,India,IPL,Top-Order Batter,Right-handed,Capped
Daksh Kamra,Kolkata Knight Riders,India,IPL,Top-Order Batter,Right-handed,Capped
Prashant Solanki,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Capped
Matheesha Pathirana,Chennai Super Kings,Overseas,IPL,Bowler,Right-handed,Capped
Kartik Tyagi,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Capped
Mustafizur Rahman,Kolkata Knight Riders,Overseas,IPL,Bowler,Left-handed,Capped
Akash Deep,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Capped
Rachin Ravindra,Chennai Super Kings,Overseas,IPL,Allrounder,Left-handed,Capped
Allah Ghazanfar,Mumbai Indians,Overseas,IPL,Bowler,Right-handed,Capped
Ashwani Kumar,Mumbai Indians,India,IPL,Bowler,Right-handed,Capped
Corbin Bosch,Mumbai Indians,Overseas,IPL,Allrounder,Right-handed,Capped
Deepak Chahar,Mumbai Indians,India,IPL,Bowler,Right-handed,Capped
Hardik Pandya,Mumbai Indians,India,IPL,Allrounder,Right-handed,Capped
Jasprit Bumrah,Mumbai Indians,India,IPL,Bowler,Right-handed,Capped
Mayank Markande,Kolkata Knight Riders,India,IPL,Bowler,Right-handed,Capped
Mitchell Santner,Mumbai Indians,Overseas,IPL,Allrounder,Left-handed,Capped
Naman Dhir,Mumbai Indians,India,IPL,Allrounder,Right-handed,Capped
Raghu Sharma,Mumbai Indians,India,IPL,Bowler,Right-handed,Capped
Raj Angad Bawa,Mumbai Indians,India,IPL,Allrounder,Right-handed,Capped
Robin Minz,Mumbai Indians,India,IPL,Wicketkeeper,Left-handed,Uncapped
Rohit Sharma,Mumbai Indians,India,IPL,Top-Order Batter,Right-handed,Capped
Ryan Rickelton,Mumbai Indians,Overseas,IPL,Wicketkeeper,Left-handed,Capped
Shardul Thakur,Lucknow Super Giants,India,IPL,Allrounder,Right-handed,Capped
Sherfane Rutherford,Gujarat Titans,Overseas,IPL,Top-Order Batter,Left-handed,Capped
Suryakumar Yadav,Mumbai Indians,India,IPL,Top-Order Batter,Right-handed,Capped
Tilak Varma,Mumbai Indians,India,IPL,Top-Order Batter,Left-handed,Capped
Trent Boult,Mumbai Indians,Overseas,IPL,Bowler,Right-handed,Capped
Will Jacks,Mumbai Indians,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Danish Malewar,Mumbai Indians,India,IPL,Top-Order Batter,Right-handed,Capped
Quinton de Kock,Kolkata Knight Riders,Overseas,IPL,Wicketkeeper,Left-handed,Capped
Atharva Ankolekar,Mumbai Indians,India,IPL,Allrounder,Left-handed,Capped
Mohammad Izhar,Mumbai Indians,India,IPL,Top-Order Batter,Right-handed,Capped
Mayank Rawat,Mumbai Indians,India,IPL,Top-Order Batter,Right-handed,Uncapped
Anshul Kamboj,Chennai Super Kings,India,IPL,Allrounder,Right-handed,Uncapped
Gurjapneet Singh,Chennai Super Kings,India,IPL,Bowler,Right-handed,Uncapped
Jamie Overton,Chennai Super Kings,Overseas,IPL,Allrounder,Right-handed,Capped
MS Dhoni,Chennai Super Kings,India,IPL,Wicketkeeper,Right-handed,Capped
Mukesh Choudhary,Chennai Super Kings,India,IPL,Bowler,Left-handed,Capped
Nathan Ellis,Chennai Super Kings,Overseas,IPL,Bowler,Right-handed,Capped
Noor Ahmad,Chennai Super Kings,Overseas,IPL,Bowler,Right-handed,Capped
Ramakrishna Ghosh,Chennai Super Kings,India,IPL,Bowler,Right-handed,Capped
Sanju Samson,Rajasthan Royals,India,IPL,Wicketkeeper,Right-handed,Capped
Ruturaj Gaikwad,Chennai Super Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Shivam Dube,Chennai Super Kings,India,IPL,Top-Order Batter,Left-handed,Capped
Shreyas Gopal,Chennai Super Kings,India,IPL,Bowler,Right-handed,Capped
Syed Khaleel Ahmed,Chennai Super Kings,India,IPL,Bowler,Right-handed,Capped
Ayush Mhatre,Chennai Super Kings,India,IPL,Top-Order Batter,Right-handed,Uncapped
Dewald Brevis,Chennai Super Kings,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Urvil Patel,Chennai Super Kings,India,IPL,Wicketkeeper,Right-handed,Capped
Kartik Sharma,Chennai Super Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Prashant Veer,Chennai Super Kings,India,IPL,Allrounder,Left-handed,Capped
Matthew Short,Chennai Super Kings,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Aman Khan,Chennai Super Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Akeal Hosein,Chennai Super Kings,Overseas,IPL,Bowler,Left-handed,Capped
Sarfaraz Khan,Chennai Super Kings,India,IPL,Top-Order Batter,Right-handed,Capped
Matt Henry,Chennai Super Kings,Overseas,IPL,Bowler,Right-handed,Capped
Rahul Chahar,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Zakary Foulkes,Chennai Super Kings,Overseas,IPL,Allrounder,Right-handed,Capped
Abhishek Sharma,Sunrisers Hyderabad,India,IPL,Allrounder,Left-handed,Capped
Aniket Verma,Sunrisers Hyderabad,India,IPL,Top-Order Batter,Right-handed,Uncapped
Brydon Carse,Sunrisers Hyderabad,Overseas,IPL,Bowler,Right-handed,Capped
Eshan Malinga,Sunrisers Hyderabad,Overseas,IPL,Bowler,Right-handed,Capped
Harsh Dubey,Sunrisers Hyderabad,India,IPL,Allrounder,Left-handed,Uncapped
Harshal Patel,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Heinrich Klaasen,Sunrisers Hyderabad,Overseas,IPL,Wicketkeeper,Right-handed,Capped
Ishan Kishan,Sunrisers Hyderabad,India,IPL,Wicketkeeper,Left-handed,Capped
Jaydev Unadkat,Sunrisers Hyderabad,India,IPL,Bowler,Left-handed,Capped
Kamindu Mendis,Sunrisers Hyderabad,Overseas,IPL,Allrounder,Left-handed,Capped
Nitish Kumar Reddy,Sunrisers Hyderabad,India,IPL,Allrounder,Right-handed,Capped
Pat Cummins,Sunrisers Hyderabad,Overseas,IPL,Bowler,Right-handed,Capped
Smaran Ravichandaran,Sunrisers Hyderabad,India,IPL,Top-Order Batter,Right-handed,Capped
Travis Head,Sunrisers Hyderabad,Overseas,IPL,Top-Order Batter,Left-handed,Capped
Zeeshan Ansari,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Salil Arora,Sunrisers Hyderabad,India,IPL,Wicketkeeper,Right-handed,Capped
Shivang Kumar,Sunrisers Hyderabad,India,IPL,Top-Order Batter,Right-handed,Capped
Amit Kumar,Sunrisers Hyderabad,India,IPL,Top-Order Batter,Right-handed,Capped
Krains Fuletra,Sunrisers Hyderabad,India,IPL,Top-Order Batter,Right-handed,Capped
Sakib Hussain,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Onkar Tarmale,Sunrisers Hyderabad,India,IPL,Top-Order Batter,Right-handed,Capped
Praful Hinge,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Liam Livingstone,Royal Challengers Bengaluru,Overseas,IPL,Allrounder,Right-handed,Capped
Jack Edwards,Sunrisers Hyderabad,Overseas,IPL,Allrounder,Right-handed,Capped
Shivam Mavi,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Abdul Samad,Lucknow Super Giants,India,IPL,Allrounder,Right-handed,Capped
Aiden Markram,Lucknow Super Giants,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Akash Singh,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Uncapped
Arjun Tendulkar,Mumbai Indians,India,IPL,Bowler,Left-handed,Capped
Arshin Kulkarni,Lucknow Super Giants,India,IPL,Allrounder,Right-handed,Capped
Avesh Khan,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Capped
Ayush Badoni,Lucknow Super Giants,India,IPL,Allrounder,Right-handed,Uncapped
Digvesh Rathi,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Uncapped
Himmat Singh,Lucknow Super Giants,India,IPL,Top-Order Batter,Right-handed,Uncapped
Manimaran Siddharth,Lucknow Super Giants,India,IPL,Bowler,Left-handed,Capped
Matthew Breetzke,Lucknow Super Giants,Overseas,IPL,Top-Order Batter,Right-handed,Capped
Mayank Yadav,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Capped
Mohammed Shami,Sunrisers Hyderabad,India,IPL,Bowler,Right-handed,Capped
Mitchell Marsh,Lucknow Super Giants,Overseas,IPL,Allrounder,Right-handed,Capped
Mohsin Khan,Lucknow Super Giants,India,IPL,Bowler,Left-handed,Capped
Nicholas Pooran,Lucknow Super Giants,Overseas,IPL,Wicketkeeper,Left-handed,Capped
Prince Yadav,Lucknow Super Giants,India,IPL,Bowler,Right-handed,Capped
Rishabh Pant,Lucknow Super Giants,India,IPL,Wicketkeeper,Left-handed,Capped
Shahbaz Ahmed,Lucknow Super Giants,India,IPL,Allrounder,Left-handed,Capped
Akshat Raghuvanshi,Lucknow Super Giants,India,IPL,Top-Order Batter,Right-handed,Uncapped
Mukul Choudhary,Lucknow Super Giants,India,IPL,Wicketkeeper,Right-handed,Capped
Wanindu Hasaranga,Rajasthan Royals,Overseas,IPL,Allrounder,Right-handed,Capped
Anrich Nortje,Kolkata Knight Riders,Overseas,IPL,Bowler,Right-handed,Capped
Naman Tiwari,Lucknow Super Giants,India,IPL,Bowler,Left-handed,Capped
Josh Inglis,Punjab Kings,Overseas,IPL,Wicketkeeper,Right-handed,Capped
Abhishek Porel,Delhi Capitals,India,IPL,Wicketkeeper,Left-handed,Capped
Ajay Mandal,Delhi Capitals,India,IPL,Allrounder,Left-handed,Capped
Ashutosh Sharma,Delhi Capitals,India,IPL,Allrounder,Right-handed,Capped
Axar Patel,Delhi Capitals,India,IPL,Allrounder,Left-handed,Capped
Dushmantha Chameera,Delhi Capitals,Overseas,IPL,Bowler,Right-handed,Capped
Karun Nair,Delhi Capitals,India,IPL,Top-Order Batter,Right-handed,Capped
KL Rahul,Delhi Capitals,India,IPL,Wicketkeeper,Right-handed,Capped
Kuldeep Yadav,Delhi Capitals,India,IPL,Bowler,Left-handed,Capped
